item_key,difficulty,content_field,claim_id,final_claim,source_url,source_sha256,page_or_section,evidence_excerpt,verdict,reviewed_revision
shinjuku-2026-r2-gian-42,normal,content,R42-N-01,令和8年6月10日に区長が提出した令和8年度一般会計の補正予算,https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,議案冒頭・末尾,令和８年６月１０日 提出 新宿区長 吉住健一,supported,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,R42-N-02,"歳入歳出それぞれに292,564千円を追加する",https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,第1条,"歳入歳出予算の総額に歳入歳出それぞれ 292,564 千円を追加し",supported,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,R42-N-03,"一般会計の総額を189,293,341千円とする",https://www.city.shinjuku.lg.jp/content/000457639.pdf,ac6e93cedcf8ebce16843474aa13de52397bb65dc7bfdf7a57ebee1adc3fa5ee,第1条,"歳入歳出予算の総額を歳入歳出それぞれ 189,293,341 千円とする",supported,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,R42-N-04,"商店街ハッピー商品券の拡充は160,224千円",https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出 4文化観光産業費,"（１）新宿区商店会連合会への事業助成 160,224千円",supported,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,R42-N-05,拡充理由は長引く物価高騰と中東情勢の影響を踏まえた商店街の活性化および区民生活の支援,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 歳出 4文化観光産業費,長引く物価高騰に加えて、中東情勢による影響を踏まえ、商店街の活性化を図るとともに、区民生活を支援するため、商店街ハッピー商品券事業を拡充,supported,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,R42-N-06,"プレミアム率を20%から30%に引き上げ、10,000円で13,000円分の紙商品券となる",https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 券種,"・プレミアム率 20%→30%（10,000円で13,000円分の紙商品券を区内の全郵便局で販売）",supported,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,R42-N-07,"共通券は4,500円分から5,000円分に増え、全ての店舗で利用できる",https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 券種,"共通券（全ての店舗で利用可）4,500円分→5,000円分",supported,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,R42-N-08,"応援券は7,500円分から8,000円分に増え、中小企業かつ店舗面積1,000平方メートル未満の店舗で利用できる",https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 券種,"応援券（中小企業かつ店舗面積1,000㎡未満の店舗で利用可）7,500円分→8,000円分",supported,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,R42-N-09,対象店舗は商店会加盟店かつ新宿区商店会連合会加盟店,https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 対象店舗,・対象店舗 商店会加盟店かつ新宿区商店会連合会加盟店,supported,step3-audit-r8-2
shinjuku-2026-r2-gian-42,normal,content,R42-N-10,"発行冊数は150,000冊",https://www.city.shinjuku.lg.jp/content/000456354.pdf,5369896bb24ed77af0fe3af1d85b13eb4093469ba9e4f6a060f2c6a288104580,p.1 発行冊数,"・発行冊数 150,000冊",supported,step3-audit-r8-2
